,one,two,three,four,five,six,seven,eight,label
43,GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
44,GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
45,GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,1
46,GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
47,GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
48,HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
49,HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
50,HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
51,IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
52,IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,1
53,ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,1
54,IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
55,KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
56,KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,1
57,LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
58,LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,1
59,LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
60,LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
61,MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
62,MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
63,MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
64,METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,1
65,METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
66,METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,1
67,METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
68,METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
69,MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
70,NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
71,NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
72,NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
73,NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
74,OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
75,OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
76,OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
77,PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
78,PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
79,PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,1
80,PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
81,PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,1
82,PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
83,PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
84,PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
85,PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
86,PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
87,PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
88,PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
89,PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,1
90,PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
91,PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
92,PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
93,PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,1
94,PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
95,PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
96,PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
97,PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
98,PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
99,RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
100,RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
101,RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
102,RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,1
103,RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
104,RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,1
105,RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
106,RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
107,RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
108,SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,1
109,SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
110,SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
111,SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
112,SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
113,SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,1
114,SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
115,SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
116,SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
117,SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
118,SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,1
119,SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
120,SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
121,SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
122,SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
123,SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,1
124,SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
125,SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
126,SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
127,SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
128,SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
129,SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
130,SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,1
131,SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
132,SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
133,THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
134,THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,1
135,TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
136,UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
137,UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
138,USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
139,UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
140,UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,1
141,XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
142,XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,1
143,EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,0
144,AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,0
145,AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,0
146,ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,0
147,ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,0
148,AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,0
149,ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,0
150,ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,0
151,BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,0
152,CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,0
153,CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,0
154,CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,0
155,CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,0
156,DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,0
157,DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,0
158,DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,0
159,DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,0
160,DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,0
161,DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,0
162,ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,0
163,EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,0
164,FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,0
165,FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,0
166,FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,0
167,GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,0
168,GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,0
169,GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,0
170,GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,0
171,GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,0
172,KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,0
173,KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,0
174,LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,0
175,LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,0
176,LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,0
177,LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,0
178,LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,0
179,LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,0
180,MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,0
181,MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,0
182,MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,0
183,MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,0
184,MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,0
185,NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,0
186,NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,0
187,NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,0
188,PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,0
189,PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,0
190,PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,0
191,POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,0
192,PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,0
193,PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,0
194,PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,0
195,PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,0
196,PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,0
197,PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,0
198,PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,0
199,PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,0
200,PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,0
201,PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,0
202,PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,0
203,PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,0
204,PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,0
205,RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,0
206,SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,0
207,SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,0
208,SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,0
209,TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,0
210,XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,0
211,YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,0
212,EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,0
213,FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,0
214,FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,0
215,FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,0
216,MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,0
217,TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,0
218,TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,0
219,EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,0
