,one,two,three,four,five,six,seven,eight,nine,label
417,MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,positive
418,MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0.0,0.51,0.22,positive
419,MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,positive
420,HO_YEAST,0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,positive
421,HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0.0,0.47,0.37,positive
422,HPR1_YEAST,0.5,0.45,0.49,0.15,0.5,0.0,0.55,0.43,positive
425,HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,positive
427,HSF_YEAST,0.34,0.35,0.61,0.19,0.5,0.0,0.52,0.25,positive
435,H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,positive
436,H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,positive
437,H2B1_YEAST,0.32,0.34,0.61,0.17,0.5,0.0,0.52,0.32,positive
438,H2B2_YEAST,0.34,0.34,0.61,0.18,0.5,0.0,0.52,0.32,positive
460,IME1_YEAST,0.54,0.45,0.62,0.13,0.5,0.0,0.52,0.26,positive
465,INO2_YEAST,0.56,0.45,0.59,0.14,0.5,0.0,0.51,0.26,positive
466,INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0.0,0.44,0.45,positive
475,IXR1_YEAST,0.42,0.32,0.61,0.13,0.5,0.0,0.14,0.27,positive
478,YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0.0,0.47,0.4,positive
487,KAR1_YEAST,0.23,0.34,0.41,0.28,0.5,0.0,0.5,0.27,positive
489,KAR3_YEAST,0.34,0.31,0.6,0.37,0.5,0.0,0.5,0.3,positive
490,KEM1_YEAST,0.59,0.53,0.47,0.26,0.5,0.0,0.53,0.31,positive
499,KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0.0,0.51,0.22,positive
502,SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0.0,0.47,0.27,positive
510,KSS1_YEAST,0.52,0.48,0.54,0.28,0.5,0.0,0.54,0.22,positive
518,AMPL_YEAST,0.42,0.32,0.48,0.16,0.5,0.0,0.55,0.22,negative
519,LAS1_YEAST,0.43,0.38,0.51,0.24,0.5,0.0,0.46,0.33,positive
525,LEUR_YEAST,0.44,0.41,0.44,0.13,0.5,0.0,0.49,0.42,positive
529,LOS1_YEAST,0.53,0.44,0.47,0.22,0.5,0.0,0.53,0.22,positive
533,LY14_YEAST,0.44,0.53,0.43,0.17,0.5,0.0,0.54,0.75,positive
535,MAC1_YEAST,0.52,0.49,0.57,0.57,0.5,0.0,0.51,0.22,positive
536,MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0.0,0.48,0.33,positive
537,MAG_YEAST,0.46,0.32,0.58,0.17,0.5,0.0,0.61,0.25,positive
539,MK16_YEAST,0.49,0.62,0.65,0.18,0.5,0.0,0.46,0.43,positive
543,MA3R_YEAST,0.33,0.37,0.54,0.28,0.5,0.0,0.53,0.27,positive
545,MA6R_YEAST,0.33,0.38,0.53,0.26,0.5,0.0,0.52,0.27,positive
552,MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0.0,0.43,0.52,positive
553,MCM1_YEAST,0.18,0.48,0.46,0.12,0.5,0.0,0.0,0.25,positive
554,MCM2_YEAST,0.26,0.38,0.52,0.36,0.5,0.0,0.48,0.56,positive
555,MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0.0,0.49,0.41,positive
564,MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0.0,0.52,0.22,positive
567,MEIX_YEAST,0.7,0.53,0.42,0.22,0.5,0.0,0.51,0.28,positive
570,MER1_YEAST,0.55,0.49,0.45,0.18,0.5,0.0,0.49,0.22,positive
571,MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0.0,0.48,0.33,positive
575,MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0.0,0.47,0.4,positive
576,MET4_YEAST,0.55,0.65,0.5,0.28,0.5,0.0,0.55,0.22,positive
584,MGMT_YEAST,0.54,0.52,0.54,0.2,0.5,0.0,0.55,0.25,positive
585,MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0.0,0.53,0.44,positive
586,MIG1_YEAST,0.43,0.39,0.59,0.13,0.5,0.0,0.41,0.43,positive
590,MLH1_YEAST,0.66,0.54,0.49,0.16,0.5,0.0,0.54,0.36,positive
597,MOT1_YEAST,0.58,0.46,0.46,0.34,0.5,0.0,0.5,0.43,positive
600,MR11_YEAST,0.39,0.3,0.56,0.12,0.5,0.0,0.53,0.38,positive
638,MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0.0,0.55,0.33,positive
639,MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0.0,0.54,0.22,positive
640,MSH4_YEAST,0.49,0.46,0.42,0.46,0.5,0.0,0.55,0.22,positive
643,MSN1_YEAST,0.52,0.38,0.62,0.12,0.5,0.0,0.41,0.28,positive
644,MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0.0,0.53,0.32,positive
645,MSN4_YEAST,0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,positive
656,RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0.0,0.44,0.46,positive
657,YKH4_YEAST,0.39,0.35,0.49,0.17,0.5,0.0,0.49,0.22,positive
662,YN46_YEAST,0.58,0.56,0.52,0.25,0.5,0.0,0.57,0.35,positive
667,NAB2_YEAST,0.56,0.63,0.52,0.2,0.5,0.0,0.34,0.26,positive
668,NAB3_YEAST,0.42,0.28,0.57,0.18,0.5,0.0,0.42,0.22,positive
673,NAP1_YEAST,0.36,0.39,0.55,0.26,0.5,0.0,0.49,0.22,positive
677,NDC1_YEAST,0.47,0.59,0.37,0.31,0.5,0.0,0.51,0.36,positive
678,CB31_YEAST,0.48,0.62,0.52,0.3,0.5,0.0,0.51,0.37,positive
680,NFS1_YEAST,0.48,0.54,0.53,0.6,0.5,0.0,0.53,0.31,positive
681,ADA3_YEAST,0.33,0.46,0.53,0.29,0.5,0.0,0.5,0.55,positive
682,NHP2_YEAST,0.36,0.44,0.51,0.17,0.5,0.0,0.6,0.19,positive
683,NHPA_YEAST,0.39,0.34,0.68,0.3,0.5,0.0,0.5,0.29,positive
684,NHPB_YEAST,0.11,0.41,0.67,0.13,0.5,0.0,0.45,0.29,positive
685,NI96_YEAST,0.4,0.53,0.44,0.18,0.5,0.0,0.54,0.31,positive
688,NMD2_YEAST,0.36,0.3,0.5,0.19,0.5,0.0,0.55,0.3,positive
690,FBRL_YEAST,0.35,0.44,0.54,0.26,0.5,0.0,0.52,0.26,positive
691,NOP2_YEAST,0.43,0.28,0.53,0.34,0.5,0.0,0.55,0.57,positive
692,NOP4_YEAST,0.33,0.48,0.55,0.16,0.5,0.0,0.53,0.75,positive
693,NOT3_YEAST,0.45,0.21,0.49,0.24,0.5,0.0,0.46,0.31,positive
694,NOP3_YEAST,0.44,0.34,0.61,0.13,0.5,0.0,0.49,0.26,positive
695,NSP1_YEAST,0.87,0.47,0.6,0.47,0.5,0.0,0.59,0.22,positive
696,NSR1_YEAST,0.3,0.55,0.58,0.16,0.5,0.0,0.61,0.28,positive
699,RNC1_YEAST,0.47,0.47,0.5,0.15,0.5,0.0,0.5,0.48,positive
700,NUF1_YEAST,0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,positive
701,NUF2_YEAST,0.64,0.76,0.51,0.18,0.5,0.0,0.46,0.22,positive
702,NUP1_YEAST,0.45,0.41,0.58,0.48,0.5,0.0,0.53,0.64,positive
703,N100_YEAST,0.9,0.54,0.59,0.2,0.5,0.0,0.48,0.22,positive
704,N116_YEAST,0.88,0.59,0.54,0.39,0.5,0.0,0.41,0.3,positive
705,YK62_YEAST,0.7,0.51,0.47,0.24,0.5,0.0,0.53,0.25,positive
706,NUP2_YEAST,0.25,0.36,0.58,0.3,0.5,0.0,0.58,0.31,positive
707,NU49_YEAST,0.69,0.62,0.49,0.0,1.0,0.0,0.47,0.22,positive
714,OPI1_YEAST,0.58,0.51,0.56,0.16,0.5,0.0,0.34,0.22,positive
716,ORC2_YEAST,0.39,0.42,0.49,0.1,0.5,0.0,0.49,0.65,positive
717,YHR8_YEAST,0.31,0.42,0.48,0.17,0.5,0.0,0.49,0.53,positive
723,PAP_YEAST,0.64,0.52,0.5,0.26,0.5,0.0,0.51,0.31,positive
740,PDR1_YEAST,0.33,0.38,0.45,0.19,0.5,0.0,0.54,0.37,positive
741,PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0.0,0.5,0.37,positive
743,PDS1_YEAST,0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,positive
746,PE12_YEAST,0.28,0.46,0.26,0.18,0.5,0.0,0.39,0.22,negative
747,PEP3_YEAST,0.51,0.46,0.49,0.21,0.5,0.0,0.55,0.22,negative
748,CARP_YEAST,0.8,0.82,0.57,0.26,0.5,0.0,0.57,0.27,negative
749,END1_YEAST,0.46,0.49,0.45,0.28,0.5,0.0,0.55,0.22,negative
750,PEP8_YEAST,0.4,0.36,0.55,0.15,0.5,0.0,0.53,0.22,negative
751,PES4_YEAST,0.67,0.46,0.58,0.3,0.5,0.0,0.57,0.27,positive
766,PGD1_YEAST,0.41,0.48,0.54,0.24,0.5,0.0,0.37,0.51,positive
771,PHD1_YEAST,0.48,0.46,0.58,0.26,0.5,0.0,0.44,0.22,positive
776,PHO4_YEAST,0.44,0.42,0.57,0.22,0.5,0.0,0.5,0.25,positive
779,PH80_YEAST,0.53,0.54,0.43,0.18,0.5,0.0,0.53,0.31,positive
781,PH85_YEAST,0.4,0.37,0.54,0.13,0.5,0.0,0.48,0.22,positive
783,PHR_YEAST,0.5,0.42,0.57,0.49,0.5,0.0,0.48,0.27,positive
785,PIK1_YEAST,0.45,0.4,0.43,0.22,0.5,0.0,0.51,0.48,positive
794,ATC3_YEAST,0.4,0.39,0.33,0.17,0.5,0.0,0.51,0.31,negative
800,PMS1_YEAST,0.38,0.48,0.51,0.13,0.5,0.0,0.5,0.32,positive
803,POB1_YEAST,0.49,0.48,0.52,0.2,0.5,0.0,0.55,0.22,positive
804,DPOA_YEAST,0.36,0.39,0.54,0.16,0.5,0.0,0.5,0.28,positive
805,DPO2_YEAST,0.54,0.53,0.48,0.14,0.5,0.0,0.49,0.33,positive
806,DPOE_YEAST,0.37,0.48,0.5,0.26,0.5,0.0,0.52,0.39,positive
807,DPOD_YEAST,0.25,0.39,0.5,0.23,0.5,0.0,0.5,0.28,positive
808,PCNA_YEAST,0.49,0.71,0.54,0.13,0.5,0.0,0.58,0.22,positive
809,DPO4_YEAST,0.56,0.5,0.56,0.26,0.5,0.0,0.53,0.27,positive
810,P152_YEAST,0.41,0.53,0.41,0.15,0.5,0.0,0.54,0.25,positive
811,POP2_YEAST,0.5,0.45,0.53,0.21,0.5,0.0,0.28,0.22,positive
816,PPR1_YEAST,0.42,0.28,0.51,0.23,0.5,0.0,0.53,0.27,positive
818,PRTB_YEAST,0.75,0.69,0.48,0.13,0.5,0.0,0.57,0.4,negative
819,CBPY_YEAST,0.69,0.7,0.5,0.3,0.5,0.0,0.54,0.22,negative
820,PRTD_YEAST,0.63,0.55,0.53,0.51,0.5,0.0,0.55,0.22,negative
827,PRI1_YEAST,0.33,0.35,0.56,0.19,0.5,0.0,0.5,0.22,positive
828,PRI2_YEAST,0.45,0.48,0.56,0.56,0.5,0.0,0.47,0.22,positive
831,PR16_YEAST,0.56,0.59,0.54,0.18,0.5,0.0,0.48,0.46,positive
832,PR18_YEAST,0.33,0.39,0.52,0.09,0.5,0.0,0.47,0.28,positive
833,PR19_YEAST,0.48,0.41,0.54,0.39,0.5,0.0,0.51,0.22,positive
834,PR02_YEAST,0.3,0.3,0.46,0.32,0.5,0.0,0.45,0.22,positive
835,PR21_YEAST,0.38,0.26,0.6,0.1,0.5,0.0,0.48,0.44,positive
836,PR22_YEAST,0.68,0.39,0.5,0.15,0.5,0.0,0.48,0.37,positive
837,PR28_YEAST,0.62,0.41,0.52,0.17,0.5,0.0,0.48,0.22,positive
838,PR38_YEAST,0.52,0.37,0.48,0.13,0.5,0.0,0.55,0.22,positive
839,PR39_YEAST,0.32,0.48,0.49,0.17,0.5,0.0,0.47,0.22,positive
840,PR04_YEAST,0.34,0.35,0.58,0.2,0.5,0.0,0.46,0.32,positive
841,PR05_YEAST,0.33,0.21,0.53,0.15,1.0,0.0,0.52,0.5,positive
842,PR06_YEAST,0.49,0.45,0.57,0.24,0.5,0.0,0.47,0.38,positive
843,PR08_YEAST,0.4,0.28,0.48,0.06,0.5,0.0,0.49,0.42,positive
844,PR09_YEAST,0.51,0.39,0.56,0.25,0.5,0.0,0.51,0.33,positive
851,SNM1_YEAST,0.37,0.44,0.51,0.56,0.5,0.0,0.5,0.38,positive
861,PUT3_YEAST,0.29,0.4,0.41,0.48,0.5,0.0,0.53,0.3,positive
872,RAD1_YEAST,0.24,0.41,0.47,0.16,0.5,0.0,0.51,0.38,positive
873,RA10_YEAST,0.61,0.39,0.53,0.14,0.5,0.0,0.43,0.26,positive
874,RA14_YEAST,0.39,0.16,0.59,0.08,0.5,0.0,0.51,0.27,positive
875,RA16_YEAST,0.33,0.28,0.5,0.4,0.5,0.0,0.46,0.61,positive
876,RA18_YEAST,0.51,0.55,0.56,0.18,0.5,0.0,0.5,0.38,positive
877,RAD2_YEAST,0.39,0.44,0.54,0.24,0.5,0.0,0.51,0.49,positive
878,RA23_YEAST,0.43,0.48,0.53,0.18,0.5,0.0,0.46,0.22,positive
879,RA26_YEAST,0.47,0.43,0.48,0.16,0.5,0.0,0.46,0.27,positive
880,RAD3_YEAST,0.52,0.5,0.51,0.2,0.5,0.0,0.51,0.22,positive
881,RAD4_YEAST,0.33,0.28,0.52,0.15,0.5,0.0,0.51,0.86,positive
882,RAD5_YEAST,0.36,0.48,0.5,0.13,0.5,0.0,0.49,0.6,positive
883,RA50_YEAST,0.45,0.54,0.49,0.29,0.5,0.0,0.49,0.25,positive
884,RA51_YEAST,0.55,0.59,0.53,0.15,0.5,0.0,0.49,0.22,positive
885,RA52_YEAST,0.31,0.39,0.55,0.28,0.5,0.0,0.46,0.31,positive
886,RA54_YEAST,0.43,0.41,0.51,0.34,0.5,0.0,0.49,0.28,positive
887,RA55_YEAST,0.64,0.5,0.53,0.1,0.5,0.0,0.51,0.22,positive
888,RA57_YEAST,0.41,0.52,0.56,0.26,0.5,0.0,0.48,0.32,positive
889,UBC2_YEAST,0.48,0.47,0.59,0.41,0.5,0.0,0.56,0.27,positive
890,RAD7_YEAST,0.49,0.49,0.51,0.29,0.5,0.0,0.52,0.71,positive
891,RAD9_YEAST,0.41,0.52,0.51,0.22,0.5,0.0,0.52,0.44,positive
892,SRS2_YEAST,0.51,0.61,0.5,0.23,0.5,0.0,0.52,0.61,positive
895,RAP1_YEAST,0.54,0.53,0.53,0.17,0.5,0.0,0.51,0.39,positive
898,RAT1_YEAST,0.53,0.46,0.54,0.37,0.5,0.0,0.51,0.3,positive
900,REB1_YEAST,0.58,0.31,0.6,0.12,0.5,0.0,0.47,0.33,positive
901,R102_YEAST,0.49,0.67,0.5,0.28,0.5,0.0,0.43,0.22,positive
902,R104_YEAST,0.44,0.33,0.55,0.16,0.5,0.0,0.49,0.22,positive
903,R114_YEAST,0.44,0.45,0.53,0.19,0.5,0.0,0.41,0.28,positive
904,RED1_YEAST,0.57,0.55,0.52,0.16,0.5,0.0,0.49,0.39,positive
906,DPOX_YEAST,0.32,0.49,0.53,0.28,0.5,0.0,0.5,0.5,positive
907,RFA1_YEAST,0.35,0.42,0.56,0.28,0.5,0.0,0.47,0.22,positive
908,RFA2_YEAST,0.46,0.41,0.58,0.1,0.5,0.0,0.48,0.22,positive
909,RFA3_YEAST,0.57,0.51,0.58,0.22,0.5,0.0,0.51,0.22,positive
910,RFC2_YEAST,0.47,0.47,0.54,0.19,0.5,0.0,0.51,0.33,positive
911,RFC3_YEAST,0.34,0.58,0.5,0.26,0.5,0.0,0.51,0.22,positive
912,RFC4_YEAST,0.55,0.45,0.58,0.25,0.5,0.0,0.49,0.22,positive
913,RFT1_YEAST,0.4,0.66,0.34,0.21,0.5,0.0,0.52,0.26,positive
914,RGM1_YEAST,0.42,0.21,0.59,0.3,0.5,0.0,0.47,0.27,positive
917,RIF1_YEAST,0.35,0.4,0.44,0.25,0.5,0.0,0.53,0.57,positive
921,RME1_YEAST,0.45,0.49,0.57,0.25,0.5,0.0,0.48,0.22,positive
923,RN12_YEAST,0.56,0.51,0.32,0.49,0.5,0.0,0.48,0.22,positive
924,RN14_YEAST,0.37,0.58,0.5,0.22,0.5,0.0,0.47,0.22,positive
925,RN15_YEAST,0.47,0.45,0.51,0.33,0.5,0.0,0.46,0.26,positive
926,ROX1_YEAST,0.5,0.36,0.64,0.37,0.5,0.0,0.37,0.33,positive
927,ROX3_YEAST,0.43,0.44,0.64,0.19,0.5,0.0,0.38,0.33,positive
938,RPA9_YEAST,0.72,0.51,0.52,0.08,0.5,0.0,0.54,0.22,positive
939,RPA2_YEAST,0.35,0.41,0.53,0.27,0.5,0.0,0.47,0.29,positive
940,RPA1_YEAST,0.56,0.49,0.54,0.15,0.5,0.0,0.5,0.35,positive
941,RPA3_YEAST,0.57,0.37,0.43,0.27,0.5,0.0,0.53,0.28,positive
942,RPBX_YEAST,0.57,0.49,0.61,0.26,0.5,0.0,0.52,0.22,positive
943,RPBY_YEAST,0.48,0.45,0.63,0.19,0.5,0.0,0.58,0.22,positive
