,one,two,three,four,five,six,seven,eight,nine,label
64,ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,Positive
65,AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,Positive
66,AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,Positive
67,AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,Positive
68,CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,Positive
69,ASG2_YEAST,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,Negative
70,AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,Positive
71,ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,Positive
72,ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,Positive
73,ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,Positive
74,ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,Positive
75,ATPS_YEAST,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,Positive
76,ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,Positive
77,ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,Positive
78,ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,Positive
79,ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,Positive
80,ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,Positive
81,ATPD_YEAST,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,Positive
82,ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,Positive
83,ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,Positive
84,ATP8_YEAST,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,Positive
85,ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,Positive
86,YBR8_YEAST,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,Positive
87,BAR1_YEAST,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,Negative
88,BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,Positive
89,BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,Positive
90,BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,Positive
91,BCS1_YEAST,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,Positive
92,KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,Positive
93,BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,Positive
94,BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,Positive
95,BET1_YEAST,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,Positive
96,BGL2_YEAST,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,Negative
97,CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,Positive
98,YMC4_YEAST,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,Positive
99,BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,Positive
100,BOS1_YEAST,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,Positive
101,BSD2_YEAST,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,Positive
102,BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,Positive
103,CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,Positive
104,CAP2_YEAST,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,Positive
105,CAN1_YEAST,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,Positive
106,CAPA_YEAST,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,Positive
107,CAPB_YEAST,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,Positive
108,ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,Positive
109,OAT_YEAST,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,Positive
110,CACP_YEAST,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,Positive
111,CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,Positive
112,CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,Positive
113,CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,Positive
114,CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,Positive
115,CBP1_YEAST,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,Positive
116,CBP2_YEAST,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,Positive
117,CBP3_YEAST,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,Positive
118,CBP4_YEAST,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,Positive
119,CBP6_YEAST,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,Positive
120,NC5R_YEAST,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,Positive
121,CBS1_YEAST,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,Positive
122,CBS2_YEAST,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,Positive
123,TNT_YEAST,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,Positive
124,ATU1_YEAST,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,Positive
125,CCE1_YEAST,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,Positive
126,CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,Positive
127,CCPR_YEAST,0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,Positive
128,CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,Positive
129,CTPT_YEAST,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,Positive
130,CC10_YEAST,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,Positive
131,CC11_YEAST,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,Positive
132,CC12_YEAST,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,Positive
133,CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,Positive
134,CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,Positive
135,CC24_YEAST,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,Positive
136,CC25_YEAST,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,Positive
137,CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,Positive
138,CDC3_YEAST,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,Positive
139,CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,Positive
140,IF4E_YEAST,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,Positive
141,UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,Positive
142,NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,Positive
143,NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,Positive
144,CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,Positive
145,CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,Positive
146,CC42_YEAST,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,Positive
147,CAL1_YEAST,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,Positive
148,RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,Positive
149,CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,Positive
150,YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,Positive
151,CC48_YEAST,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,Positive
152,CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,Positive
153,SYLC_YEAST,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,Positive
154,CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,Positive
155,CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,Positive
156,KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,Positive
157,DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,Positive
158,MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,Positive
159,CEM1_YEAST,0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,Positive
160,RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,Positive
161,RLUB_YEAST,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,Positive
162,CLH_YEAST,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,Positive
163,CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,Positive
164,CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,Positive
165,PSS_YEAST,0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,Positive
166,PEM1_YEAST,0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,Positive
167,CHS1_YEAST,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,Positive
168,CHS2_YEAST,0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,Positive
169,CHS3_YEAST,0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,Positive
170,CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,Positive
171,CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,Positive
172,CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,Positive
173,CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,Positive
174,CISY_YEAST,0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,Positive
175,CISZ_YEAST,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,Positive
176,KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,Positive
177,KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,Positive
178,KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,Positive
179,KICH_YEAST,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,Positive
180,CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,Positive
181,CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,Positive
182,CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,Positive
183,CG13_YEAST,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,Positive
184,CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,Positive
185,KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,Positive
186,KCC2_YEAST,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,Positive
187,P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,Positive
188,P2B2_YEAST,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,Positive
189,CALB_YEAST,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,Positive
190,CALX_YEAST,0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,Positive
191,CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,Positive
192,COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,Positive
193,COQ1_YEAST,0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,Positive
194,COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,Positive
195,COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,Positive
196,UCR1_YEAST,0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,Positive
197,COT1_YEAST,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,Positive
198,COX1_YEAST,0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,Positive
199,COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,Positive
200,COXZ_YEAST,0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,Positive
201,COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,Positive
202,COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,Positive
203,YEX1_YEAST,0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,Positive
204,COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,Positive
205,COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,Positive
206,COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,Positive
207,COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,Positive
208,COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,Positive
209,COX6_YEAST,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,Positive
210,COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,Positive
211,COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,Positive
212,COX9_YEAST,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,Positive
213,CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,Positive
214,CARB_YEAST,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,Positive
215,CYPH_YEAST,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,Positive
216,CYPB_YEAST,0.77,0.79,0.58,0.23,0.5,0.0,0.48,0.22,Negative
217,CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,Positive
218,CYPR_YEAST,0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,Positive
219,CYPD_YEAST,0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,Positive
220,CBPS_YEAST,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,Positive
221,CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,Positive
222,CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,Positive
223,R141_YEAST,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,Positive
224,R142_YEAST,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,Positive
225,CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,Positive
226,CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,Positive
227,YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,Positive
228,CSG2_YEAST,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,Positive
229,CATA_YEAST,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,Positive
230,CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,Positive
231,CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,Positive
232,CTR1_YEAST,0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,Positive
233,CHI1_YEAST,0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,Negative
234,CHI2_YEAST,0.82,0.75,0.54,0.23,0.5,0.0,0.46,0.22,Negative
235,CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,Positive
236,MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,Positive
237,MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,Positive
238,CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,Positive
239,CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,Positive
240,CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,Positive
241,CCHL_YEAST,0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,Positive
242,CYC7_YEAST,0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,Positive
243,RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,Positive
244,CYAA_YEAST,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,Positive
245,CYS3_YEAST,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,Positive
246,CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,Positive
247,CYT2_YEAST,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,Positive
248,DAL4_YEAST,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,Positive
249,DAL5_YEAST,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,Positive
250,MASZ_YEAST,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,Positive
251,DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,Positive
252,DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,Positive
253,DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,Positive
254,DAP2_YEAST,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,Positive
255,DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,Positive
256,DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,Positive
257,DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,Positive
258,DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,Positive
259,DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,Positive
260,DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,Positive
261,DEP1_YEAST,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,Positive
262,DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,Positive
263,DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,Positive
264,DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,Positive
265,DLD1_YEAST,0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,Positive
266,DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,Positive
267,DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,Positive
268,DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,Positive
269,DPM1_YEAST,0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,Positive
270,SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,Positive
271,DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,Positive
272,ATC4_YEAST,0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,Positive
273,DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,Positive
274,TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,Positive
275,DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,Positive
276,DUR3_YEAST,0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,Positive
277,EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,Positive
278,EF2_YEAST,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,Positive
279,EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,Positive
280,ATN2_YEAST,0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,Positive
281,END2_YEAST,0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,Positive
282,END3_YEAST,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,Positive
283,ENO1_YEAST,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,Positive
284,ENO2_YEAST,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,Positive
285,EPT1_YEAST,0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,Positive
286,ERD1_YEAST,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,Positive
287,ERD2_YEAST,0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,Positive
288,ERG1_YEAST,0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,Positive
289,THIL_YEAST,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,Positive
290,CP51_YEAST,0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,Positive
291,KIME_YEAST,0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,Positive
