,one,two,three,four,five,six,seven,eight,nine,label
286,ERD1_YEAST,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,Positive
287,ERD2_YEAST,0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,Positive
288,ERG1_YEAST,0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,Positive
290,CP51_YEAST,0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,Positive
292,ERG2_YEAST,0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,Positive
294,ER24_YEAST,0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,Positive
295,ERG3_YEAST,0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,Positive
296,ERG4_YEAST,0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,Positive
298,ERG7_YEAST,0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,Positive
300,FDFT_YEAST,0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,Positive
301,ERS1_YEAST,0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,Positive
302,ESP1_YEAST,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,Positive
303,EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,Positive
314,FCY2_YEAST,0.46,0.35,0.33,0.17,0.5,0.0,0.55,0.22,Positive
315,FET3_YEAST,0.54,0.55,0.42,0.22,0.5,0.0,0.48,0.22,Positive
316,FET4_YEAST,0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,Positive
317,FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,Positive
319,FOX2_YEAST,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,Positive
320,THIK_YEAST,0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,Positive
323,FKB3_YEAST,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,Positive
324,FPS1_YEAST,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,Positive
326,YKW0_YEAST,0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,Positive
330,FU34_YEAST,0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,Positive
332,FUR4_YEAST,0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,Positive
335,FZF1_YEAST,0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,Positive
339,GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,Positive
340,GAL2_YEAST,0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,Positive
341,GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,Positive
343,GAL8_YEAST,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,Positive
344,GAP1_YEAST,0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,Positive
345,GAR1_YEAST,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,Positive
347,GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,Positive
356,GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,Positive
357,GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,Positive
358,GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,Positive
359,GCR2_YEAST,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,Positive
360,GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,Positive
361,GCS1_YEAST,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,Positive
363,GDA1_YEAST,0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,Positive
367,GEF1_YEAST,0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,Positive
373,GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0.0,0.5,0.36,Positive
375,GLO3_YEAST,0.34,0.66,0.51,0.16,0.5,0.0,0.47,0.33,Positive
376,GLS1_YEAST,0.2,0.34,0.33,0.1,0.5,0.0,0.48,0.31,Positive
378,GOG5_YEAST,0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,Positive
383,PHO2_YEAST,0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,Positive
385,GSP1_YEAST,0.58,0.48,0.56,0.1,0.5,0.0,0.46,0.25,Positive
386,GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,Positive
389,GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,Positive
392,CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0.0,0.54,0.63,Positive
393,HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0.0,0.31,0.26,Positive
394,HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0.0,0.46,0.22,Positive
395,HAP4_YEAST,0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,Positive
397,HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0.0,0.52,0.26,Positive
398,HDF1_YEAST,0.43,0.42,0.54,0.22,0.5,0.0,0.57,0.33,Positive
405,HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,Positive
406,H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,Positive
407,H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,Positive
408,H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,Positive
409,H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,Positive
410,HIP1_YEAST,0.48,0.46,0.38,0.29,0.5,0.0,0.53,0.22,Positive
411,HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,Positive
412,HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0.0,0.5,0.42,Positive
414,HMD1_YEAST,0.51,0.63,0.3,0.35,0.5,0.0,0.53,0.27,Positive
415,HMD2_YEAST,0.53,0.68,0.34,0.42,0.5,0.0,0.54,0.27,Positive
416,MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0.0,0.47,0.22,Positive
417,MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,Positive
418,MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0.0,0.51,0.22,Positive
419,MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,Positive
420,HO_YEAST,0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,Positive
421,HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0.0,0.47,0.37,Positive
422,HPR1_YEAST,0.5,0.45,0.49,0.15,0.5,0.0,0.55,0.43,Positive
423,HXTY_YEAST,0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,Positive
425,HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,Positive
427,HSF_YEAST,0.34,0.35,0.61,0.19,0.5,0.0,0.52,0.25,Positive
431,HS30_YEAST,0.37,0.62,0.34,0.25,0.5,0.0,0.51,0.22,Positive
435,H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,Positive
436,H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,Positive
437,H2B1_YEAST,0.32,0.34,0.61,0.17,0.5,0.0,0.52,0.32,Positive
438,H2B2_YEAST,0.34,0.34,0.61,0.18,0.5,0.0,0.52,0.32,Positive
442,HXT1_YEAST,0.3,0.5,0.34,0.26,0.5,0.0,0.51,0.22,Positive
443,HXT2_YEAST,0.49,0.4,0.34,0.26,0.5,0.0,0.5,0.22,Positive
444,HXT3_YEAST,0.34,0.4,0.3,0.23,0.5,0.0,0.51,0.22,Positive
445,HXT4_YEAST,0.43,0.44,0.3,0.18,0.5,0.0,0.51,0.22,Positive
446,HXT5_YEAST,0.43,0.45,0.37,0.12,0.5,0.0,0.48,0.22,Positive
447,HXT6_YEAST,0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,Positive
448,HXT7_YEAST,0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,Positive
449,HXT8_YEAST,0.42,0.44,0.33,0.17,0.5,0.0,0.54,0.27,Positive
450,ACEA_YEAST,0.52,0.5,0.53,0.1,0.5,0.0,0.48,0.22,Positive
460,IME1_YEAST,0.54,0.45,0.62,0.13,0.5,0.0,0.52,0.26,Positive
465,INO2_YEAST,0.56,0.45,0.59,0.14,0.5,0.0,0.51,0.26,Positive
466,INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0.0,0.44,0.45,Positive
468,IRA1_YEAST,0.47,0.59,0.43,0.13,0.5,0.0,0.56,0.3,Positive
469,IRA2_YEAST,0.4,0.45,0.42,0.17,0.5,0.0,0.54,0.26,Positive
473,ITR1_YEAST,0.49,0.41,0.32,0.21,0.5,0.0,0.5,0.32,Positive
474,ITR2_YEAST,0.35,0.53,0.35,0.33,0.5,0.0,0.5,0.32,Positive
475,IXR1_YEAST,0.42,0.32,0.61,0.13,0.5,0.0,0.14,0.27,Positive
476,YJ12_YEAST,0.5,0.46,0.42,0.32,0.5,0.0,0.56,0.55,Positive
477,YJ13_YEAST,0.68,0.5,0.43,0.27,0.5,0.0,0.61,0.22,Positive
478,YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0.0,0.47,0.4,Positive
480,YJ36_YEAST,0.32,0.36,0.34,0.19,0.5,0.0,0.55,0.26,Positive
481,YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0.0,0.45,0.25,Positive
483,YJ51_YEAST,0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,Positive
484,YJ90_YEAST,0.65,0.61,0.39,0.3,0.5,0.0,0.57,0.28,Positive
485,YJ91_YEAST,0.47,0.43,0.35,0.32,0.5,0.0,0.54,0.22,Positive
487,KAR1_YEAST,0.23,0.34,0.41,0.28,0.5,0.0,0.5,0.27,Positive
489,KAR3_YEAST,0.34,0.31,0.6,0.37,0.5,0.0,0.5,0.3,Positive
490,KEM1_YEAST,0.59,0.53,0.47,0.26,0.5,0.0,0.53,0.31,Positive
497,KIN1_YEAST,0.48,0.43,0.45,0.17,0.5,0.0,0.48,0.37,Positive
498,KIN2_YEAST,0.36,0.35,0.47,0.22,0.5,0.0,0.44,0.31,Positive
499,KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0.0,0.51,0.22,Positive
502,SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0.0,0.47,0.27,Positive
505,KRE2_YEAST,0.89,0.82,0.6,0.49,0.5,0.0,0.55,0.22,Positive
507,KRE6_YEAST,0.37,0.55,0.29,0.32,0.5,0.0,0.51,0.22,Positive
510,KSS1_YEAST,0.52,0.48,0.54,0.28,0.5,0.0,0.54,0.22,Positive
511,KTR1_YEAST,0.77,0.6,0.42,0.33,0.5,0.0,0.57,0.22,Positive
512,KTR2_YEAST,0.76,0.74,0.56,0.34,0.5,0.0,0.51,0.3,Positive
513,KTR3_YEAST,0.58,0.76,0.4,0.37,0.5,0.0,0.54,0.3,Positive
514,KTR4_YEAST,0.94,0.6,0.33,0.49,0.5,0.0,0.54,0.22,Positive
516,LAG1_YEAST,0.42,0.51,0.39,0.22,0.5,0.0,0.49,0.26,Positive
518,AMPL_YEAST,0.42,0.32,0.48,0.16,0.5,0.0,0.55,0.22,negative
519,LAS1_YEAST,0.43,0.38,0.51,0.24,0.5,0.0,0.46,0.33,Positive
521,LCB1_YEAST,0.83,0.53,0.52,0.2,0.5,0.0,0.48,0.25,Positive
522,LCB2_YEAST,0.36,0.34,0.46,0.19,0.5,0.0,0.52,0.22,Positive
525,LEUR_YEAST,0.44,0.41,0.44,0.13,0.5,0.0,0.49,0.42,Positive
527,LGT3_YEAST,0.46,0.4,0.38,0.18,0.5,0.0,0.49,0.22,Positive
529,LOS1_YEAST,0.53,0.44,0.47,0.22,0.5,0.0,0.53,0.22,Positive
531,LYP1_YEAST,0.46,0.14,0.36,0.21,0.5,0.0,0.5,0.25,Positive
533,LY14_YEAST,0.44,0.53,0.43,0.17,0.5,0.0,0.54,0.75,Positive
535,MAC1_YEAST,0.52,0.49,0.57,0.57,0.5,0.0,0.51,0.22,Positive
536,MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0.0,0.48,0.33,Positive
537,MAG_YEAST,0.46,0.32,0.58,0.17,0.5,0.0,0.61,0.25,Positive
538,MK11_YEAST,0.78,0.48,0.47,0.3,0.5,0.0,0.53,0.47,Positive
539,MK16_YEAST,0.49,0.62,0.65,0.18,0.5,0.0,0.46,0.43,Positive
541,MA3T_YEAST,0.39,0.37,0.33,0.23,0.5,0.0,0.53,0.26,Positive
543,MA3R_YEAST,0.33,0.37,0.54,0.28,0.5,0.0,0.53,0.27,Positive
544,MA6T_YEAST,0.39,0.37,0.33,0.23,0.5,0.0,0.52,0.26,Positive
545,MA6R_YEAST,0.33,0.38,0.53,0.26,0.5,0.0,0.52,0.27,Positive
552,MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0.0,0.43,0.52,Positive
553,MCM1_YEAST,0.18,0.48,0.46,0.12,0.5,0.0,0.0,0.25,Positive
554,MCM2_YEAST,0.26,0.38,0.52,0.36,0.5,0.0,0.48,0.56,Positive
555,MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0.0,0.49,0.41,Positive
558,MDHP_YEAST,0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22,Positive
560,MDL1_YEAST,0.51,0.47,0.41,0.44,0.5,0.0,0.5,0.22,Positive
561,MDL2_YEAST,0.72,0.56,0.4,0.26,0.5,0.0,0.51,0.26,Positive
564,MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0.0,0.52,0.22,Positive
567,MEIX_YEAST,0.7,0.53,0.42,0.22,0.5,0.0,0.51,0.28,Positive
569,MEP1_YEAST,0.47,0.6,0.35,0.21,0.5,0.0,0.52,0.22,Positive
570,MER1_YEAST,0.55,0.49,0.45,0.18,0.5,0.0,0.49,0.22,Positive
571,MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0.0,0.48,0.33,Positive
575,MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0.0,0.47,0.4,Positive
576,MET4_YEAST,0.55,0.65,0.5,0.28,0.5,0.0,0.55,0.22,Positive
584,MGMT_YEAST,0.54,0.52,0.54,0.2,0.5,0.0,0.55,0.25,Positive
585,MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0.0,0.53,0.44,Positive
586,MIG1_YEAST,0.43,0.39,0.59,0.13,0.5,0.0,0.41,0.43,Positive
590,MLH1_YEAST,0.66,0.54,0.49,0.16,0.5,0.0,0.54,0.36,Positive
592,MASY_YEAST,0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22,Positive
593,MNN1_YEAST,0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,Positive
594,MNN9_YEAST,0.74,0.56,0.35,0.36,0.5,0.0,0.51,0.25,Positive
595,MNS1_YEAST,0.89,0.52,0.41,0.26,0.5,0.0,0.52,0.31,Positive
597,MOT1_YEAST,0.58,0.46,0.46,0.34,0.5,0.0,0.5,0.43,Positive
600,MR11_YEAST,0.39,0.3,0.56,0.12,0.5,0.0,0.53,0.38,Positive
638,MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0.0,0.55,0.33,Positive
639,MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0.0,0.54,0.22,Positive
640,MSH4_YEAST,0.49,0.46,0.42,0.46,0.5,0.0,0.55,0.22,Positive
643,MSN1_YEAST,0.52,0.38,0.62,0.12,0.5,0.0,0.41,0.28,Positive
644,MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0.0,0.53,0.32,Positive
645,MSN4_YEAST,0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,Positive
656,RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0.0,0.44,0.46,Positive
657,YKH4_YEAST,0.39,0.35,0.49,0.17,0.5,0.0,0.49,0.22,Positive
662,YN46_YEAST,0.58,0.56,0.52,0.25,0.5,0.0,0.57,0.35,Positive
665,YNE2_YEAST,0.44,0.41,0.29,0.21,0.5,0.0,0.49,0.22,Positive
667,NAB2_YEAST,0.56,0.63,0.52,0.2,0.5,0.0,0.34,0.26,Positive
668,NAB3_YEAST,0.42,0.28,0.57,0.18,0.5,0.0,0.42,0.22,Positive
673,NAP1_YEAST,0.36,0.39,0.55,0.26,0.5,0.0,0.49,0.22,Positive
676,NCPR_YEAST,0.78,0.63,0.53,0.13,0.5,0.0,0.54,0.22,Positive
677,NDC1_YEAST,0.47,0.59,0.37,0.31,0.5,0.0,0.51,0.36,Positive
678,CB31_YEAST,0.48,0.62,0.52,0.3,0.5,0.0,0.51,0.37,Positive
680,NFS1_YEAST,0.48,0.54,0.53,0.6,0.5,0.0,0.53,0.31,Positive
681,ADA3_YEAST,0.33,0.46,0.53,0.29,0.5,0.0,0.5,0.55,Positive
682,NHP2_YEAST,0.36,0.44,0.51,0.17,0.5,0.0,0.6,0.19,Positive
683,NHPA_YEAST,0.39,0.34,0.68,0.3,0.5,0.0,0.5,0.29,Positive
684,NHPB_YEAST,0.11,0.41,0.67,0.13,0.5,0.0,0.45,0.29,Positive
685,NI96_YEAST,0.4,0.53,0.44,0.18,0.5,0.0,0.54,0.31,Positive
688,NMD2_YEAST,0.36,0.3,0.5,0.19,0.5,0.0,0.55,0.3,Positive
690,FBRL_YEAST,0.35,0.44,0.54,0.26,0.5,0.0,0.52,0.26,Positive
